fips,state,county,yrs_lost_rate,sroh_fairpoor,phys_days,ment_days,pct_smokers,pct_obese,food_envir,inactive,binge_drink,uninsured,some_college,unemployed,income_ratio,social_assoc,air_pollution,housing_prob,drive_alone,phys_distress,ment_distress,food_insecure,poor_sleep,health_costs,hh_income,population,pct_65plus,pct_nhwhite,not_english,pct_female,pct_rural,rural_cat,race_cat
6017,California,El Dorado,5220.8,12.00298901,3.703026111,3.502431086,11.25937113,20.6,7.7,15.5,19.38731381,9.255792419,69.7700063,5.667575543,4.919509969,6.171929192,8.1,21.30072917,76.19072332,10.1951302,10.29554296,13,29.8,7922.6,75.575,184452,18.64604342,78.30817774,1.9370697,49.9381953,34.69993041,Suburban,High
6019,California,Fresno,6895.5,22.92290681,4.464850188,4.03541281,13.62686921,26.6,7.1,20.9,17.67179689,15.44571021,51.68159165,10.19028836,5.092602563,5.248588471,14.3,28.73089265,76.9322143,14.45035389,12.84133653,16,30.1,8665.11,46.608,974861,11.49640821,30.4080274,12.42830307,50.10673317,10.80520178,Urban,High
6021,California,Glenn,6667.4,19.90696622,4.323485214,4.075388774,14.28177335,26.7,7.3,19,17.01058704,18.00545749,46.84234439,8.733790999,5.576565759,9.658379539,7.2,21.18380062,76.18006559,13.285309,12.6791364,14.9,31.8,8369.83,43.584,28017,15.06228361,52.1933112,9.702209414,49.61273513,40.87191523,Suburban,High
6023,California,Humboldt,8768.6,15.71548208,4.388791192,4.187865955,15.9289783,25.5,6.5,14.7,20.89400365,14.91656547,65.12992456,5.628023566,4.803669725,9.717452099,6,25.94051975,72.30458936,12.75575566,12.65979483,18,31.4,7028.1,40.739,135727,16.05502221,74.8988779,1.876728102,50.07846633,29.75865937,Suburban,High
6025,California,Imperial,5550.5,27.06973818,4.659593256,4.126724407,13.77491179,26.3,6.7,20.9,17.33285316,15.98651812,53.79244074,24.00836396,6.007394692,4.802028019,10.3,27.12058212,79.96545769,15.32266932,13.30603107,16.6,34.1,8761.81,39.925,180191,12.4545621,11.92068416,20.75794726,49.01854144,17.41783553,Urban,High
6027,California,Inyo,6743,14.72772915,3.88883392,3.825993439,12.34639505,23.3,6.8,18.4,18.10628332,13.42885237,53.84420198,5.827251933,4.586378658,9.234111896,5.8,18.98412698,69.62680133,11.20051256,11.40061718,14.3,30.1,7365.59,51.697,18260,22.14676889,64.26067908,2.861602497,50.12048193,46.43049714,Suburban,High
6029,California,Kern,7474.9,22.68648984,4.509806056,4.114123992,14.55685083,30.3,7.4,23.8,16.70431377,14.51291957,45.99792471,10.21220833,4.91807812,4.53927502,13.9,25.96074744,77.75769553,14.10050529,12.67496753,14.3,34.2,9708.64,51.15,882176,10.08778294,35.44020694,10.68061296,48.67430082,10.20603098,Urban,High
6031,California,Kings,6280.3,22.58207193,4.513332941,4.034061714,15.23436257,26.4,7.1,20.4,19.95063334,14.28857415,49.68191589,10.48771293,4.41491405,4.125934158,13.5,25.21760451,75.99180099,13.90808026,12.50035414,15.6,35.4,8532.48,46.44,150965,9.370383864,33.18716259,9.953538628,44.79183917,10.85160346,Urban,High
6033,California,Lake,10636.6,18.18203282,4.501604617,4.360016204,14.97928557,26.2,6.4,21,16.95350764,15.87950468,50.72270403,7.669869595,5.113609851,6.232082762,5.5,28.48519147,73.58309756,13.58603051,13.19890273,18.1,32.8,8176.27,37.993,64591,21.33114521,71.49602886,3.484683256,50.14320881,33.10600789,Suburban,High
6035,California,Lassen,6199.9,14.38214773,3.755492343,3.615486806,14.07287244,23.9,4.3,17.5,22.78284655,9.317993367,38.44807978,7.272059499,4.404234618,6.929352106,7.1,18.95424837,77.23965439,10.93995823,10.71125772,17.1,31.8,8149.14,54.67,31345,12.99728824,65.73935237,2.081598668,36.90221726,70.5258633,Rural,High
6037,California,Los Angeles,4943.4,19.1837263,3.582991891,3.695492706,11.70026618,21.4,7.9,17.6,18.54165894,17.37042372,60.4219474,6.721462368,5.417517586,5.57493769,14.4,34.62559416,72.98609122,11.33267668,11.38515003,14,35.4,11222.19,59.045,10170292,12.55947224,26.62081875,14.70765487,50.73668485,0.605218358,Urban,High
6039,California,Madera,6855.4,22.75410394,4.699506387,4.269244861,14.95498092,26.5,7.4,19.9,16.57156604,17.3530386,42.90256869,10.49598785,4.469042405,4.658746797,11.8,27.19040339,77.05618893,14.59482129,13.33459246,13.4,32.1,7606.73,46.593,154998,13.14468574,35.1410986,14.23380369,51.84002374,32.92480032,Suburban,High
