fips,state,county,years_lost_rate,sroh_fairpoor,phys_days,ment_days,lbw_pct,smoker_pct,obese_pct,food_env,inactive_pct,exer_access,exc_drink,alc_drive,sti_rate,teen_births,uninsured,pcp_ratio,prev_hosp,hsgrads,unemployed,poor_kids,income_ratio,associations,pm2.5,h2oviol,sev_housing,drive_alone,age-adj-mortality,dm_prev,freq_phys_distress,freq_mental_distress,food_insecure,insuff_sleep,health_costs,median_income,population,age65plus,african-am,hispanic,white,female,rural
39135,Ohio,Preble,8321,15.01,3.77,3.98,7.55,19.76,29.3,8.2,27.6,54.62,17.52,38.1,141.4,35.07,9.31,5198,65.25,92.5,4.81,18.9,3.89,8.66,11.2,No,10.75,83.22,422.7,12.6,11.3,11.9,13.1,35.5,10577.8,51042,41329,17.78,0.67,0.75,96.56,50.44,69.22
39137,Ohio,Putnam,5550,12.77,2.9,3.41,5.28,15.05,35.2,8.6,27.2,39.75,22.73,44.44,132,18.43,7.88,2136,51.05,95.5,3.9,8.7,3.508,14.92,11.3,Yes,6.76,86.02,274.3,9.9,9.2,10.5,9.6,31.7,9796.84,60036,34042,15.9,0.35,5.9,92.71,49.93,84.66
39139,Ohio,Richland,7864,16.64,3.93,4.03,8.17,20.61,32.8,6.9,28.9,61.37,16.5,34.38,474.7,47.66,10.94,1820,66.42,81.5,5.57,23.4,4.142,15.34,11.2,No,12.21,84.65,416.4,11.9,11.8,12.3,16.2,34.6,9425.43,45273,121707,18.41,9.42,1.81,85.93,49.13,32.05
39141,Ohio,Ross,8924,19.63,4.66,4.15,9.59,22.93,33.7,7.2,28.2,69.91,15.63,29.51,236.2,48.96,10.02,1456,69.46,86.8,5.34,25.9,4.425,11.41,11.1,No,14.27,85.23,462.5,13.3,13.3,12.6,16.1,36.1,11218.87,45615,77170,15.53,5.92,1.19,89.77,47.61,58.67
39143,Ohio,Sandusky,6870,15.38,3.65,3.98,7.48,18.42,33.5,8,29.1,75.53,17.08,37.21,277.9,38.44,9.69,1824,54.54,95,4.84,18.3,4.287,14.46,11.2,No,12.19,86.65,377.9,12.9,11.5,12.1,12.9,37,9416.76,49994,59679,17.37,2.96,9.75,84.71,50.79,44.14
39145,Ohio,Scioto,10032,21.17,5.1,4.69,8.1,24.53,37,6.4,31.9,91.24,15.2,24.59,212.4,45.06,10.89,1797,95.98,89.4,7.66,32.1,5.757,11.52,10.6,No,15.18,87.36,514.8,16,14.6,14,18.2,41.4,13702.91,37277,76825,17.04,2.62,1.33,93.51,50.7,54.28
39147,Ohio,Seneca,8410,16.03,3.7,3.87,7.82,19.41,35.1,7.7,23.6,67.77,16.14,25,295.1,31.83,9.18,2320,65.45,94.3,4.79,19.8,4.108,15.99,11.3,Yes,10.9,85.26,368.7,13.5,11.5,11.9,14.2,36,8550.2,48617,55610,16.79,2.27,4.98,90.25,50.06,47.51
39149,Ohio,Shelby,6908,13.98,3.5,3.78,6.75,18.23,31.8,7.8,24.9,66.79,18.13,39.39,311,39.73,8.01,2448,56.46,90.3,4.28,13.6,3.615,12.46,11.7,No,13.79,86.66,341.8,11.3,10.4,11.3,13,34.6,9268.02,59149,48901,15.17,2.12,1.66,93.08,49.77,51.11
39151,Ohio,Stark,7266,15.71,3.84,4.03,8.63,19.28,30.7,7.1,25.2,80.22,17.86,37.01,398.7,32.19,8.58,1291,50.72,85.6,5.27,20.2,4.478,12.67,12,Yes,13.47,85.12,356.3,12.9,11.5,12.1,15.2,35.1,10062.66,48976,375165,18.12,7.72,1.94,86.9,51.46,13.53
39153,Ohio,Summit,7260,16.06,3.83,3.98,9.04,20.03,30.8,6.7,23.8,95.71,16.94,51.33,500.9,29.13,9.27,1017,58.79,82.8,4.95,21.5,4.889,11.42,12.3,Yes,15.46,86.67,378.7,10.4,11.6,12,16.2,38.8,10029.21,51434,541968,16.56,14.63,1.96,78.01,51.51,3.88
