fips,state,county,years_lost_rate,sroh_fairpoor,phys_days,ment_days,lbw_pct,smoker_pct,obese_pct,food_env,inactive_pct,exer_access,exc_drink,alc_drive,sti_rate,teen_births,uninsured,pcp_ratio,prev_hosp,hsgrads,unemployed,poor_kids,income_ratio,associations,pm2.5,h2oviol,sev_housing,drive_alone,age-adj-mortality,dm_prev,freq_phys_distress,freq_mental_distress,food_insecure,insuff_sleep,health_costs,median_income,population,age65plus,african-am,hispanic,white,female,rural
39073,Ohio,Hocking,8620,17.46,4.04,4.2,7.05,21.22,37.5,7.1,27.5,78.39,15.75,26.67,296.5,43.06,10.54,2210,70.31,94,5.47,23.8,4.449,10.1,10.9,No,13.46,85.75,413.4,14.6,12.2,12.7,14.6,38,10088.73,43598,28491,17.71,0.69,0.93,96.53,50.31,70.84
39075,Ohio,Holmes,5608,14.9,3.81,3.93,4.61,19.44,31.2,8.3,27,26.2,18.37,29.17,57.3,14.8,22.9,3658,50.17,91.4,3.41,15.7,3.453,12.07,11.8,No,15.16,51.69,287.9,10.3,11.4,12,12.4,35.6,8640.5,53540,43909,12.73,0.4,0.97,97.89,49.99,92.99
39077,Ohio,Huron,8051,15.76,3.73,3.84,6.68,19.16,33.3,7.6,31.4,70.35,17.18,29.73,288.7,35.79,10.75,2349,65.38,95.1,6.64,20.7,3.931,14.14,11.2,Yes,11.67,82.56,399,12.8,11.3,11.8,14.2,35.4,10098,48838,58469,15.94,1.16,6.29,90.51,50.75,50.3
39079,Ohio,Jackson,10434,19.23,4.28,4.37,8.9,22.16,37.4,7,35.2,74.99,15.48,30.77,180,54.47,11.66,2183,72.87,90.8,7.53,29.2,5.15,14.66,10.9,Yes,14.56,82.96,531.8,14.2,13.1,13.5,17.7,37.5,10577.38,42828,32596,16.19,0.69,0.97,96.2,50.63,64.58
39081,Ohio,Jefferson,10329,17.33,4.01,4.25,8.27,21.9,36.6,6.6,28.5,70,16.66,45.83,260.4,33,9.54,2418,94.23,90.6,7.42,28.5,4.91,18.32,11.2,No,10.66,82.3,498.6,15.4,12.1,12.6,16.7,36.8,12235.87,43306,67347,19.79,5.45,1.33,90.64,51.28,38.98
39083,Ohio,Knox,7058,16.71,4.05,3.91,6.41,17.8,27.6,7.6,23.3,66.09,18.95,37.04,217.1,24.89,10.07,2447,49.76,89.4,4.66,19.9,4.157,15.2,11.2,Yes,14.24,77.73,356.1,11,11.6,11.9,14,34.6,10026.82,50914,61061,16.74,1.01,1.46,95.36,50.96,55.7
39085,Ohio,Lake,6334,14.15,3.65,3.88,7.49,17.7,26.7,7.6,23.7,89.35,19.78,32.79,281.5,20.14,9.36,2163,61.79,87.3,4.36,12.6,4.062,8.94,10.7,No,12.87,87.48,327.9,11.2,10.4,11.1,12.4,32.7,10425.73,60782,229245,18.45,3.79,4.11,89.18,51.13,6.53
39087,Ohio,Lawrence,9594,21.1,4.41,4.3,9.37,22.03,38.8,7.2,35.6,96.23,14.54,33.33,239,46.68,10.34,1926,81.1,95.4,5.79,30.1,4.971,10.71,11,No,12.72,88.01,517.2,15.7,13.1,12.8,15.1,36.8,11282.69,39698,61109,17.6,2.22,0.88,94.87,51.14,45.92
39089,Ohio,Licking,6794,14.86,3.58,3.9,7.51,17.76,31.4,7.8,26.1,76.76,18.33,26.88,354.6,29.18,8.61,2259,63.26,89,4.39,17.4,4.331,10.63,11.7,No,12.59,82.98,363.1,11,10.9,11.6,13.3,33.3,9155.48,59119,170570,15.56,3.83,1.77,91.24,50.93,35.53
39091,Ohio,Logan,7855,14.81,3.73,3.91,7.83,18.85,34.3,7.7,23.6,62.85,17.18,30,246.3,39.04,10.65,1750,53.68,96.7,4.13,17.3,4.075,13.62,11.3,No,13.09,79.74,382.1,13.4,11.2,11.9,13.9,35.7,9302.89,49690,45386,16.82,1.76,1.42,93.84,50.65,56.91
39093,Ohio,Lorain,7199,17.3,4.06,3.89,7.62,19.58,29.2,7.3,22,88.69,17.57,50.45,401.5,31.54,8.81,1690,70.92,86.6,5.39,20.9,4.483,10.26,11.3,Yes,14.91,84.36,359.2,11.5,11.9,11.9,14.3,34,11177.52,52779,305147,16.79,7.9,9.51,78.82,50.65,11.74
39095,Ohio,Lucas,8576,17.63,3.88,4.23,9.27,19.76,34.2,6.6,27,95.17,16.69,38.51,603.1,40.44,9.66,1113,71.26,60,5.31,28.9,5.4,10.11,11.4,Yes,17.03,84.36,422,12.3,12.5,13.1,18.3,36.5,10780.53,43136,433689,14.99,19.16,6.81,69.57,51.52,4.66
39097,Ohio,Madison,7448,13.51,3.3,3.57,7.01,17.69,29.6,7.8,28,58.36,18.37,33.33,249.6,31.13,9.47,1909,58.79,80.4,3.99,14,3.746,10.47,11.7,Yes,12.63,84.17,383.6,10.7,10,10.8,13.5,35.9,9796.75,63736,44094,14.16,6.63,1.72,88.58,45.36,48.49
39099,Ohio,Mahoning,8498,17.2,3.95,4,10.25,20.62,31.3,6.1,27.6,75.86,15.61,29.82,499.9,34.47,10.12,1018,62.8,82.5,6.11,26.8,4.824,13.55,11.7,Yes,14.57,86.11,412.1,12.5,12.3,12.5,16.9,37.4,10690.1,42443,231900,19.44,15.05,5.48,76.57,51.27,15.16
