fips,state,county,years_lost_rate,sroh_fairpoor,phys_days,ment_days,lbw_pct,smoker_pct,obese_pct,food_env,inactive_pct,exer_access,exc_drink,alc_drive,sti_rate,teen_births,uninsured,pcp_ratio,prev_hosp,hsgrads,unemployed,poor_kids,income_ratio,associations,pm2.5,h2oviol,sev_housing,drive_alone,age-adj-mortality,dm_prev,freq_phys_distress,freq_mental_distress,food_insecure,insuff_sleep,median_income,population,age65plus,african-am,hispanic,white,female,rural
39105,Ohio,Meigs,12075,20.18,4.71,4.95,9.71,22.24,40.7,7,33.2,43.5,16.23,26.92,177.6,32.99,7.93,11540,55.88,88.42,7.26,25.9,5.191,15.16,10.5,No,12,81,571.9,15.1,14.2,15.1,16.5,40.5,44286,23106,19.9,0.87,0.77,96.61,0.507011166,0.81295751
39107,Ohio,Mercer,6114,15.17,3.53,3.97,5.54,15.52,34.7,8.8,26.8,65.7,21.74,22.73,181,19.79,6.28,2044,48.08,96.03,2.76,10.1,3.736,11.99,12.5,No,8,88,308.5,11.6,10.5,12.1,9.6,34.9,62782,40959,17.8,0.44,2.08,95.01,0.495593154,0.613588475
39109,Ohio,Miami,7602,14.9,3.76,4.17,6.28,17.76,37.1,8.2,26,85.7,18.23,27.12,242.6,26.6,6.47,2022,49.96,95,3.91,11.6,3.982,12.27,12.2,Yes,10,85,375.2,12.9,11.3,12.9,11.8,35.6,59922,106222,18.6,2.33,1.74,92.01,0.507409011,0.307981972
39111,Ohio,Monroe,7706,18.73,4.26,4.63,7.3,19.41,37,7.6,31.1,70.3,16.3,41.67,129.1,26.61,8.9,6973,72.22,92.11,7.8,19.1,4.354,16.49,10.8,No,11,85,377.6,16.7,13,14.4,15.9,36.3,46314,13790,23.5,0.61,0.64,97.09,0.49724438,0.976505942
39113,Ohio,Montgomery,11185,19,4.35,4.45,9.38,20.2,33.3,6.7,27.6,93.5,17.1,38.58,593.4,27.26,7.47,1070,45.57,87.87,4.53,25.1,4.862,10.72,12,No,16,83,506.5,13.2,13.3,14,17,39.1,51071,532331,18,21.09,3.09,70.63,0.518378603,0.043312847
39115,Ohio,Morgan,8757,20.47,4.59,4.8,8.07,21.65,32.1,7.4,29.8,27.8,16.24,11.11,197.2,30.13,7.85,14709,52.65,86.54,6.04,25.2,4.446,11.56,10.8,No,13,84,432.8,15.2,14.2,15.3,16,37.4,40557,14604,21.4,3.15,0.98,91.95,0.501232539,0.814866481
39117,Ohio,Morrow,7524,15.99,3.92,4.12,7.16,18.52,39.2,8.6,32,17.3,17.98,27.91,208.6,23.29,7.92,5832,59,93.4,4.54,17.2,3.839,7.14,11.3,No,11,82,375.2,16.7,11.7,12.8,10.9,36.3,60452,35112,17.2,0.66,1.53,95.89,0.501737298,0.888391191
39119,Ohio,Muskingum,9134,18.92,4.44,4.77,8.24,19.76,36.6,7,31.7,78.6,17.96,22.45,448.1,34.48,7.39,1485,62.47,93.53,5.31,24,4.563,13.7,11.3,Yes,13,86,447.4,15.2,13.2,14.5,15.1,40,49586,86183,17.8,3.76,1.21,91.41,0.514741887,0.470327857
39121,Ohio,Noble,7423,15.8,3.89,4.27,6.2,17.19,38.9,7,30.1,31.9,16.13,57.14,180.5,27.13,7.82,4802,77.4,96.24,6.7,19,3.718,11.8,10.9,No,10,84,311,12.5,11.5,12.9,13.6,36.7,48792,14354,27.5,2.73,0.65,95.01,0.416817612,0.625264595
39123,Ohio,Ottawa,8656,14.4,3.87,4.24,6.88,16.66,33.9,7.9,27.5,75.4,16.6,41.38,214,19.37,6.51,2259,46.11,96.04,6.3,12.5,3.991,15.5,11.4,Yes,11,87,379.1,13.5,11.4,12.7,11.8,35,58345,40769,25,0.82,5.22,92.2,0.503863229,0.494472338
