fips,state,county,years_lost_rate,sroh_fairpoor,phys_days,ment_days,lbw_pct,smoker_pct,obese_pct,food_env,inactive_pct,exer_access,exc_drink,alc_drive,sti_rate,teen_births,uninsured,pcp_ratio,prev_hosp,hsgrads,unemployed,poor_kids,income_ratio,associations,pm2.5,h2oviol,sev_housing,drive_alone,age_adj_mortality,dm_prev,freq_phys_distress,freq_mental_distress,food_insecure,insuff_sleep,median_income,population,age65plus,african_am,hispanic,white,female,rural
39053,Ohio,Gallia,13207,22.9,4.93,5.74,9.8,26.5,41.5,6.7,34.5,43.9,17.8,42.9,227.4,30.4,9.6,1107,5654,86.1,8,21.8,4.3,13.4,8.5,No,15.2,87.9,618.1,11.4,15.9,19.1,17.6,42.2,50642,29802,19.5,2.2,1.4,93.2,50.5,81.4
39055,Ohio,Geauga,5244,16,3.8,4.87,6.3,19.1,35.3,8.8,26.2,67.8,22.1,26.2,171.9,6,9.8,1441,3198,90.4,6.7,6.2,4,9.6,9.2,No,12.4,77.5,249.5,8.7,11.7,15.4,8.7,36.9,84510,93271,21.6,1.2,1.7,95.3,50.3,64
39057,Ohio,Greene,6874,16.8,3.89,4.85,7.4,18.6,37,7.9,26.1,76.5,19.7,35.1,457.6,11.7,7,1062,4009,94,6.4,10.3,4.5,9.8,8.6,No,12.3,82.1,343.1,9.6,12.3,15.5,12,38,71673,170122,18,7.1,3.2,83.3,50.6,14.9
39059,Ohio,Guernsey,10201,22.2,4.96,5.77,8.4,26.2,37.6,6.3,32.2,42.3,20.2,35.5,352.4,30.2,8.8,2592,4606,84.8,8.7,23.6,4.3,15.7,8.5,No,14.1,84.3,490.8,11.7,15.5,19.3,17,42,45808,38779,20.4,1.5,1.2,94.5,50.1,61.4
39061,Ohio,Hamilton,9070,18.2,4.15,4.97,9.6,20,33.7,7.6,27.6,93.7,20.9,39.4,871.7,22.6,7.7,897,4144,91.8,7.8,16.5,5.3,10.5,12.2,No,16.3,77.6,423.3,10.8,12.6,16.2,12.8,36.9,63919,817985,16.2,26.2,3.7,64.5,51.7,2.2
39063,Ohio,Hancock,7396,17.5,4.07,5.01,8,21.1,32.2,8.2,26.9,72.5,19,13.8,333.8,18.7,6.4,1943,3455,93.1,6.8,11,4.1,12.4,9.1,No,9.4,83.4,369.9,10,12.6,16,11.5,39.1,61473,75407,18.2,1.8,6,88.2,50.4,31.1
39065,Ohio,Hardin,8693,20.7,4.66,5.55,7.5,24.5,38.5,7.8,31,56,20,26.9,290.1,22,7.8,3137,5465,90.2,8.1,19,4.2,11.8,9.2,No,12,80.1,459.4,11,14.7,18.7,14,41,45312,31469,16.5,1,2.1,94.3,50.2,55.4
39067,Ohio,Harrison,8991,22,4.82,5.71,6,27.8,36.5,7.4,32.8,15.9,19,24.1,212.8,29.4,8.7,3760,5989,87.7,9.2,18.9,4.2,16.6,8.3,No,11.8,83.6,435.7,10.9,15.3,19.1,15.4,41.8,49088,15014,22.5,2,1.3,94.6,50.4,84.1
39069,Ohio,Henry,7651,18.7,4.15,5.08,7,21.6,36.4,8.5,27.2,37.1,19.4,27.8,248.1,15.9,7,2455,2908,93.5,8.1,10.7,3.3,15.6,9,Yes,7.8,85.7,368.5,10.2,12.8,16.4,11.1,38.9,64694,26904,19.5,0.6,7.8,89.9,50.6,69.1
39071,Ohio,Highland,9729,23.4,5.07,5.86,7.6,28.5,41,7.3,34.3,26,17.2,33.3,210.8,31.5,9.8,3320,4788,84.3,8.7,21.9,4.8,12.3,8.9,No,14.1,82.5,470.8,11.5,16.2,19.9,17.1,41.4,57155,43304,19.1,1.4,1.3,94.8,50.9,73
